gene size,replicate,genomes gt,genomes inf,runtime_phases_1-3,runtime_phase_4,total_runtime,alpha,gamma
150,3,67,2,0.047300248999817995,0.7487057739999727,0.7960060229997907,1.0,1.0
150,3,31,8,0.14502113299749908,0.01920190199962235,0.16422303499712143,1.0,0.5
150,3,29,11,0.281337235999672,0.07970951600145781,0.3610467520011298,1.0,0.25
150,4,54,2,0.05106303300271975,2.042270813999494,2.0933338470022136,0.25,1.0
150,4,34,23,0.677558224000677,0.5467135370017786,1.2242717610024556,0.5,1.0
150,4,9,9,0.22563584800082026,0.04816286400091485,0.2737987120017351,1.0,1.0
150,4,19,10,0.1912359470006777,0.06843999099874054,0.25967593799941824,1.0,0.5
150,4,29,21,0.981942952999816,0.2022083060001023,1.1841512589999184,1.0,0.25
150,5,26,19,0.8951621400010481,0.3875064179992478,1.2826685580002959,0.25,1.0
150,5,28,24,0.9861971210011689,0.5446083460010414,1.5308054670022102,0.5,1.0
150,5,3,1,0.013642186000652146,0.03369744399969932,0.04733963000035146,1.0,1.0
150,5,59,6,0.13339005899979384,0.7473787390008511,0.8807687980006449,1.0,0.5
150,5,35,4,0.050051210997480666,0.11015463900184841,0.16020584999932908,1.0,0.25
200,1,67,20,0.5928083319995494,0.49663839700224344,1.0894467290017928,0.25,1.0
200,1,57,8,0.23571712000193656,0.06679725899812183,0.3025143790000584,0.5,1.0
200,1,21,4,0.08056190199931734,0.35837457299930975,0.4389364749986271,1.0,1.0
200,1,21,19,2.035949316999904,1.0052727360016434,3.0412220530015475,1.0,0.5
200,1,50,10,0.2938097500009462,0.5907694400011678,0.884579190002114,1.0,0.25
200,2,39,2,0.04963120899992646,0.8464031830008025,0.896034392000729,0.25,1.0
200,2,68,1,0.03427147899856209,0.3166128339980787,0.3508843129966408,0.5,1.0
200,2,22,1,0.024749068998062285,0.18081016699943575,0.20555923599749804,1.0,1.0
200,2,16,17,1.645452030999877,0.3243505919999734,1.9698026229998504,1.0,0.5
200,2,24,22,1.6912484069980565,0.8680437410002924,2.559292147998349,1.0,0.25
200,3,13,3,0.058563058999425266,0.22837601699939114,0.2869390759988164,0.25,1.0
200,3,57,11,0.37430428800144,0.35477173300023424,0.7290760210016742,0.5,1.0
200,3,60,1,0.03612148400134174,0.3117285640000773,0.34785004800141905,1.0,1.0
200,3,36,32,1.8326742090030166,1.4822919479993288,3.3149661570023454,1.0,0.5
200,3,28,2,0.03867459899993264,0.4863217439997243,0.5249963429996569,1.0,0.25
200,4,31,12,0.5795709600024566,0.23819535199800157,0.8177663120004581,0.25,1.0
200,4,59,4,0.11650472200199147,10.196787430999393,10.313292153001385,0.5,1.0
200,4,45,1,0.03788839100161567,1.1765517749990977,1.2144401660007134,1.0,1.0
200,4,70,16,0.7537867249993724,0.49228789799963124,1.2460746229990036,1.0,0.5
200,4,9,9,5.096022298999742,0.041076819001318654,5.137099118001061,1.0,0.25
200,5,61,14,0.5481793879989709,0.7566931780020241,1.304872566000995,0.25,1.0
200,5,48,23,1.6629585759983456,0.4505593920002866,2.1135179679986322,0.5,1.0
200,5,42,27,3.1682717350013263,0.7675144200002251,3.9357861550015514,1.0,1.0
200,5,26,4,0.07268857099916204,0.6898138869983086,0.7625024579974706,1.0,0.5
200,5,41,1,0.028135491000284674,1.8905364679994818,1.9186719589997665,1.0,0.25
250,1,15,7,0.4001236410003912,0.5830939109982864,0.9832175519986777,0.25,1.0
250,1,40,14,0.677612894000049,2.492614588001743,3.170227482001792,0.5,1.0
250,1,63,25,2.550008878999506,1.3487121029975242,3.8987209819970303,1.0,1.0
250,1,38,34,3.750355929001671,2.0976890719975927,5.848045000999264,1.0,0.5
250,1,50,4,0.12549065300117945,2.211054632000014,2.3365452850011934,1.0,0.25
250,2,67,13,0.6668686709999747,1.5917638089995307,2.2586324799995054,0.25,1.0
250,2,39,11,0.6299719410017133,0.24582378700142726,0.8757957280031405,0.5,1.0
250,2,18,13,0.5832853190004244,0.2699589580006432,0.8532442770010675,1.0,1.0
250,2,68,3,0.12169063100009225,2.019247609998274,2.1409382409983664,1.0,0.5
250,2,59,1,0.0492937900016841,2.2238919519986666,2.2731857420003507,1.0,0.25
