u,v,weight
338,339,39
36,37,39
68,69,39
279,280,39
977,978,39
220,221,39
10,11,39
102,103,39
933,934,39
194,195,39
497,498,39
227,228,39
287,288,39
907,908,39
489,490,39
991,992,39
504,505,39
463,464,39
353,354,39
197,344,1
386,387,39
327,328,39
511,512,39
603,604,39
192,225,2
544,545,39
865,866,39
714,715,39
108,109,39
722,844,1
577,578,39
49,50,39
637,638,39
109,110,39
201,202,39
142,143,39
234,235,39
813,814,39
326,327,39
24,25,39
644,645,39
754,755,39
57,58,39
89,90,39
728,729,39
90,91,39
182,183,39
243,916,1
485,486,39
913,914,39
174,175,39
610,611,39
189,190,39
222,223,39
314,315,39
517,518,39
499,500,39
802,803,39
643,644,39
565,566,39
776,777,39
524,525,39
373,374,39
676,677,39
70,71,39
801,802,39
650,651,39
44,45,39
742,743,39
834,835,39
724,725,39
683,684,39
712,854,2
927,928,39
170,171,39
280,281,39
749,750,39
221,222,39
841,842,39
890,991,4
254,255,39
177,178,39
875,876,39
118,119,39
816,817,39
849,850,39
472,473,39
202,203,39
790,791,39
51,52,39
290,990,1
882,883,39
505,506,39
143,144,39
630,631,39
328,329,39
461,462,39
571,572,39
631,632,39
723,724,39
572,573,39
604,605,39
494,495,39
453,454,39
394,395,39
940,941,39
881,882,39
730,731,39
973,974,39
914,915,39
552,553,39
645,646,39
980,981,39
58,59,39
678,679,39
301,302,39
921,922,39
770,771,39
308,309,39
82,244,5
928,929,39
6,7,39
837,838,39
249,250,39
98,99,39
778,779,39
493,494,39
811,812,39
995,996,39
710,711,39
559,560,39
651,652,39
500,501,39
652,653,39
290,291,39
533,534,39
231,232,39
264,265,39
961,962,39
71,72,39
600,601,39
994,995,39
632,633,39
692,693,39
541,542,39
482,483,39
844,845,39
515,516,39
758,759,39
850,851,39
322,323,39
851,852,39
883,884,39
792,793,39
765,766,39
976,977,39
297,298,39
766,767,39
238,239,39
330,331,39
454,455,39
514,515,39
1,2,39
832,833,39
336,337,39
924,925,39
277,278,39
126,127,39
672,673,39
462,463,39
738,739,39
588,589,39
982,983,39
469,470,39
92,93,39
561,562,39
653,654,39
125,126,39
562,563,39
654,655,39
7,8,39
132,133,38
963,964,38
41,42,38
284,285,38
997,998,38
350,351,38
442,443,38
351,352,38
971,972,38
627,628,38
332,333,38
819,820,38
54,55,38
859,860,38
728,916,1
154,155,38
397,398,38
866,867,38
430,431,38
85,823,3
101,102,38
992,993,38
313,314,38
135,136,38
589,590,38
530,531,38
471,472,38
62,300,3
748,749,38
781,782,38
42,43,38
268,269,38
267,268,38
906,907,38
998,999,38
972,973,38
5,6,38
248,249,38
484,485,38
576,577,38
458,459,38
440,441,38
366,659,6
528,648,6
860,861,38
12,224,1
893,894,38
255,256,38
196,197,38
86,712,3
867,868,38
262,263,38
842,843,38
110,111,38
321,322,38
656,657,38
446,447,38
479,480,38
302,303,38
225,312,3
185,540,3
709,811,6
704,705,38
915,916,38
