gene_size,replicate,strategy,genomes_gt,genomes_inf,runtime_phases_1_3,alpha,gamma
250,5,cost,17,8,14.545812884000043,1.0,1.0
250,5,score,43,10,21.534098993000953,1.0,0.5
250,5,cost,43,9,18.586690778000047,1.0,0.5
250,5,score,7,7,10.477767566000693,1.0,0.25
250,5,cost,7,7,9.45580930000142,1.0,0.25
300,1,score,11,7,11.728074716000265,0.25,1.0
300,1,cost,11,7,12.508777774997725,0.25,1.0
300,1,score,14,14,0.6988559479977994,0.5,1.0
300,1,cost,14,14,0.6914768579990778,0.5,1.0
300,1,score,61,12,34.68076006100091,1.0,1.0
300,1,cost,61,16,47.922957988001144,1.0,1.0
300,1,score,44,12,30.04238727899792,1.0,0.5
300,1,cost,44,12,31.10062233100325,1.0,0.5
300,1,score,57,11,37.33800566799982,1.0,0.25
300,1,cost,57,12,35.605253334000736,1.0,0.25
300,2,score,59,58,2874.4344733569997,0.25,1.0
300,2,cost,59,58,2877.6404243539982,0.25,1.0
300,2,score,52,52,5.858096961997944,0.5,1.0
300,2,cost,52,52,5.891220085002715,0.5,1.0
300,2,score,58,14,42.616524776000006,1.0,1.0
300,2,cost,58,13,47.874937364998914,1.0,1.0
300,2,score,25,10,23.353642685000523,1.0,0.5
300,2,cost,25,10,25.61822899699837,1.0,0.5
300,2,score,70,14,47.708303583996894,1.0,0.25
300,2,cost,70,14,52.64412591400105,1.0,0.25
300,3,score,67,12,39.52252863400281,0.25,1.0
300,3,cost,67,12,39.34271055299905,0.25,1.0
300,3,score,45,45,1125.352121486998,0.5,1.0
300,3,cost,45,45,1096.4106423190024,0.5,1.0
300,3,score,27,27,331.4572432800014,1.0,1.0
300,3,cost,27,26,159.0064021420003,1.0,1.0
300,3,score,4,4,0.4511059690012189,1.0,0.5
300,3,cost,4,4,0.4352468869983568,1.0,0.5
300,3,score,44,44,4.200942085000861,1.0,0.25
300,3,cost,44,44,4.219028141000308,1.0,0.25
300,4,score,35,8,21.036775739001314,0.25,1.0
300,4,cost,35,8,19.516970949996903,0.25,1.0
300,4,score,33,7,17.877316792000784,0.5,1.0
300,4,cost,33,7,16.97435269199923,0.5,1.0
300,4,score,64,15,51.26669224199941,1.0,1.0
300,4,cost,64,14,49.04026089599938,1.0,1.0
300,4,score,32,6,3.9569680530003097,1.0,0.5
300,4,cost,32,8,21.951125290001073,1.0,0.5
300,4,score,70,70,4952.647988018998,1.0,0.25
300,4,cost,70,70,5309.496358276003,1.0,0.25
300,5,score,36,36,4.177214595001715,0.25,1.0
300,5,cost,36,36,4.150323444999231,0.25,1.0
300,5,score,50,13,58.06609474499419,0.5,1.0
300,5,cost,50,12,56.541666419005196,0.5,1.0
300,5,score,27,27,2.5088961380024557,1.0,1.0
300,5,cost,27,27,2.5273674839991145,1.0,1.0
300,5,score,12,7,18.782989747996908,1.0,0.5
300,5,cost,12,8,18.241641795997566,1.0,0.5
300,5,score,56,54,4438.278550910996,1.0,0.25
300,5,cost,56,54,4503.691090756998,1.0,0.25
350,1,score,53,53,7.972034752994659,0.25,1.0
350,1,cost,53,53,8.029601397996885,0.25,1.0
350,1,score,21,21,51.82937505999871,0.5,1.0
350,1,cost,21,21,52.31390475900116,0.5,1.0
350,1,score,33,10,34.00540124600229,1.0,1.0
350,1,cost,33,10,36.14572203900025,1.0,1.0
350,1,score,2,2,0.10640813499776414,1.0,0.5
350,1,cost,2,2,0.10565618200052995,1.0,0.5
350,1,score,38,38,4.248450117003813,1.0,0.25
350,1,cost,38,38,4.302069463999942,1.0,0.25
350,2,score,25,9,26.152551487000892,0.25,1.0
350,2,cost,25,9,27.05987558900233,0.25,1.0
350,2,score,57,56,6738.455290468999,0.5,1.0
350,2,cost,57,56,6772.696159886,0.5,1.0
350,2,score,41,8,26.49600536199432,1.0,1.0
350,2,cost,41,8,25.573274053000205,1.0,1.0
350,2,score,27,27,288.76410714800295,1.0,0.5
350,2,cost,27,27,292.1041100500006,1.0,0.5
350,2,score,69,15,69.14601644000504,1.0,0.25
350,2,cost,69,14,59.91627314300422,1.0,0.25
350,3,score,7,6,11.524719802000618,0.25,1.0
350,3,cost,7,6,12.30312340999808,0.25,1.0
350,3,score,49,49,3314.9128525610067,0.5,1.0
350,3,cost,49,49,3158.3513269569958,0.5,1.0
350,3,score,68,68,12.640685889011365,1.0,1.0
350,3,cost,68,68,12.749591854008031,1.0,1.0
350,3,score,10,6,13.705205845995806,1.0,0.5
350,3,cost,10,5,12.243097680999199,1.0,0.5
350,3,score,48,47,2762.546754023002,1.0,0.25
350,3,cost,48,47,2803.0444139729952,1.0,0.25
350,4,score,8,6,12.725045218001469,0.25,1.0
350,4,cost,8,7,14.0595249110047,0.25,1.0
350,4,score,36,8,28.21488616798888,0.5,1.0
350,4,cost,36,8,27.214870138996048,0.5,1.0
350,4,score,31,7,20.344943595991936,1.0,1.0
350,4,cost,31,7,19.196355038002366,1.0,1.0
350,4,score,51,51,1499.2592293240014,1.0,0.5
350,4,cost,51,51,1467.5708481539914,1.0,0.5
350,4,score,16,9,18.299878336998518,1.0,0.25
350,4,cost,16,8,18.343603911998798,1.0,0.25
350,5,score,21,3,0.04411765400436707,0.25,1.0
350,5,cost,21,6,14.932043417007662,0.25,1.0
350,5,score,14,5,13.042497104004724,0.5,1.0
350,5,cost,14,6,13.418208542003413,0.5,1.0
350,5,score,32,9,27.777995822994853,1.0,1.0
350,5,cost,32,9,27.772587277999264,1.0,1.0
350,5,score,50,49,2518.640384929997,1.0,0.5
350,5,cost,50,49,2703.581429768994,1.0,0.5
350,5,score,63,9,46.106492086997605,1.0,0.25
350,5,cost,63,9,45.51987959200051,1.0,0.25
400,1,score,31,8,38.895317660993896,0.25,1.0
400,1,cost,31,7,35.12260811100714,0.25,1.0
400,1,score,7,5,17.105455088996678,0.5,1.0
400,1,cost,7,5,17.13202470500255,0.5,1.0
400,1,score,22,8,34.589196783010266,1.0,1.0
400,1,cost,22,8,36.885204005011474,1.0,1.0
400,1,score,16,5,20.595755382993957,1.0,0.5
400,1,cost,16,5,21.920668631995795,1.0,0.5
400,1,score,40,11,58.86515567700553,1.0,0.25
400,1,cost,40,10,56.0666979719972,1.0,0.25
400,2,score,29,6,30.725030874004005,0.25,1.0
400,2,cost,29,6,33.081576431999565,0.25,1.0
400,2,score,34,8,44.93540697499702,0.5,1.0
400,2,cost,34,8,42.04906313600077,0.5,1.0
400,2,score,49,9,58.40492027600703,1.0,1.0
400,2,cost,49,9,56.12889562700002,1.0,1.0
